1.6,上海-徐汇区 | 2年经验 | 大专 | 招若干人,Python高级开发工程师
1.8,北京 | 3-4年经验 | 本科 | 招1人,Python开发工程师(J12684)
1.4,上海-浦东新区 | 3-4年经验 | 大专 | 招10人,Python开发工程师
1.0,广州-越秀区 | 3-4年经验 | 本科 | 招若干人,Python 软件开发工程师
1.2,上海-浦东新区 | 2年经验 | 本科 | 招1人,Python开发
1.2,异地招聘 | 3-4年经验 | 本科 | 招1人,Python开发工程师
1.7,深圳-福田区 | 3-4年经验 | 本科 | 招2人,Python开发工程师
1.4,深圳 | 2年经验 | 本科 | 招若干人,python工程师
1.6,深圳-南山区 | 3-4年经验 | 本科 | 招1人,Python开发工程师
1.4,上海-浦东新区 | 无需经验 | 本科 | 招1人,Python开发工程师
1.7,广州-海珠区 | 5-7年经验 | 大专 | 招1人,高级脚本开发工程师（python）
1.1,上海-静安区 | 3-4年经验 | 本科 | 招1人,Python/Odoo开发工程师
1.2,杭州 | 3-4年经验 | 大专 | 招若干人,Python开发工程师
1.2,杭州-拱墅区 | 3-4年经验 | 大专 | 招若干人,Python开发工程师
1.7,北京-海淀区 | 3-4年经验 | 本科 | 招若干人,Python高级开发工程师
1.2,宁波-海曙区 | 2年经验 | 本科 | 招1人,Python高级开发工程师
1.0,重庆 | 2年经验 | 本科 | 招5人,研发工程师后端-python(J10148)
2.2,北京-西城区 | 3-4年经验 | 本科 | 招1人,Python软件工程师
2.1,南京-雨花台区 | 5-7年经验 | 本科 | 招1人,Python开发经理
1.7,南京-雨花台区 | 3-4年经验 | 本科 | 招2人,Python开发工程师
1.4,异地招聘 | 2年经验 | 招10人,Python开发工程师
1.7,广州-白云区 | 2年经验 | 大专 | 招1人,Python开发工程师（双休+近地铁）
1.0,异地招聘 | 2年经验 | 本科 | 招3人,Python开发工程师
1.0,南京-鼓楼区 | 3-4年经验 | 本科 | 招1人,Python开发工程师
1.4,深圳-龙岗区 | 1年经验 | 本科 | 招1人,Python开发工程师
2.1,深圳-罗湖区 | 5-7年经验 | 本科 | 招1人,Python爬虫工程师
1.2,杭州-西湖区 | 2年经验 | 本科 | 招3人,Python开发工程师
1.3,北京 | 1年经验 | 大专 | 招若干人,Java/Python软件工程师（北京）
1.2,长沙-雨花区 | 2年经验 | 本科 | 招3人,Python开发((包吃+双休+六险一金)
1.7,杭州 | 5-7年经验 | 本科 | 招若干人,Python开发工程师
1.7,异地招聘 | 3-4年经验 | 本科 | 招5人,Python开发工程师
2.7,上海 | 3-4年经验 | 本科 | 招若干人,Python开发工程师
1.0,武汉-洪山区 | 2年经验 | 大专 | 招2人,Python软件开发工程师
1.8,上海-黄浦区 | 3-4年经验 | 本科 | 招1人,Python全栈开发工程师
1.2,上海-浦东新区 | 3-4年经验 | 本科 | 招1人,Python高级开发工程师
1.4,深圳-南山区 | 3-4年经验 | 本科 | 招1人,Python开发工程师
0.7,杭州 | 1年经验 | 大专 | 招1人,python后端开发工程师
1.1,广州-黄埔区 | 3-4年经验 | 本科 | 招2人,Python爬虫工程师
1.2,成都 | 3-4年经验 | 本科 | 招若干人,Python开发工程师
0.9,扬州 | 2年经验 | 本科 | 招2人,Python开发工程师
2.0,南京-江宁区 | 5-7年经验 | 本科 | 招1人,Python开发工程师
1.4,上海-徐汇区 | 1年经验 | 本科 | 招1人,Python工程师
1.6,广州-白云区 | 3-4年经验 | 本科 | 招1人,Python开发工程师
1.8,北京 | 3-4年经验 | 本科 | 招1人,Python工程师
1.2,深圳-龙华区 | 1年经验 | 本科 | 招1人,Python开发工程师
1.2,武汉-东湖新技术产业开发区 | 3-4年经验 | 本科 | 招1人,Python开发工程师
0.9,深圳-罗湖区 | 2年经验 | 本科 | 招1人,Python开发工程师
0.8,常熟 | 1年经验 | 大专 | 招1人,Python开发工程师
1.3,北京-朝阳区 | 3-4年经验 | 本科 | 招若干人,Python开发工程师(本科/学信网)
1.3,苏州-相城区 | 1年经验 | 本科 | 招若干人,Python开发工程师
1.7,苏州-相城区 | 3-4年经验 | 本科 | 招5人,Python开发工程师
1.2,宁波 | 2年经验 | 本科 | 招1人,高级python开发
1.1,福州 | 3-4年经验 | 本科 | 招若干人,Python中级开发工程师
1.9,上海-杨浦区 | 3-4年经验 | 本科 | 招若干人,Python高级开发工程师（数据处理）
3.4,异地招聘 | 2年经验 | 本科 | 招5人,Python开发工程师
1.5,上海-浦东新区 | 3-4年经验 | 大专 | 招1人,Python开发工程师
0.9,沈阳-和平区 | 2年经验 | 大专 | 招若干人,python工程师
1.5,东莞 | 3-4年经验 | 本科 | 招1人,Python/Odoo开发工程师
1.1,深圳-南山区 | 3-4年经验 | 大专 | 招若干人,Python开发工程师
1.1,武汉-武昌区 | 3-4年经验 | 大专 | 招1人,PT20108101-Python开发工程师
1.4,广州-天河区 | 3-4年经验 | 本科 | 招若干人,Python开发工程师
1.2,深圳-福田区 | 3-4年经验 | 大专 | 招1人,Python开发工程师
1.2,北京-海淀区 | 3-4年经验 | 大专 | 招10人,Python开发
1.1,上海-浦东新区 | 1年经验 | 本科 | 招2人,Python开发工程师
1.1,上海-杨浦区 | 3-4年经验 | 本科 | 招若干人,Python开发工程师
1.0,银川 | 3-4年经验 | 本科 | 招1人,Python高级开发工程师
1.1,深圳-福田区 | 1年经验 | 本科 | 招3人,Python开发工程师
1.2,苏州 | 2年经验 | 本科 | 招4人,python开发工程师（清洗组）
0.9,杭州-拱墅区 | 1年经验 | 本科 | 招2人,Python开发工程师
1.0,上海-嘉定区 | 3-4年经验 | 本科 | 招5人,Python开发工程师（***）
0.8,长沙-雨花区 | 无需经验 | 本科 | 招1人,Python开发工程师
1.0,福州-鼓楼区 | 1年经验 | 硕士 | 招1人,Python开发工程师
1.9,上海-徐汇区 | 3-4年经验 | 本科 | 招若干人,Python高级开发工程师
1.2,上海-浦东新区 | 2年经验 | 本科 | 招1人,Python开发工程师
1.7,深圳-龙岗区 | 3-4年经验 | 本科 | 招2人,Python后端开发工程师（坂田）
1.2,北京 | 2年经验 | 本科 | 招若干人,德企招Python 全栈工程师
1.2,广州-越秀区 | 2年经验 | 本科 | 招1人,Python开发工程师（数据开发）
1.2,深圳-罗湖区 | 2年经验 | 大专 | 招1人,Python开发工程师
1.2,武汉-洪山区 | 2年经验 | 大专 | 招1人,Python爬虫工程师
1.7,深圳-南山区 | 3-4年经验 | 本科 | 招2人,Python开发工程师
2.1,上海 | 2年经验 | 大专 | 招1人,Python Web工程师
0.8,上海-虹口区 | 1年经验 | 大专 | 招若干人,python开发工程师
1.3,异地招聘 | 3-4年经验 | 本科 | 招2人,Python开发工程师
1.2,杭州-西湖区 | 2年经验 | 本科 | 招2人,Python开发工程师
1.2,杭州-滨江区 | 2年经验 | 本科 | 招3人,Python开发工程师
1.3,广州-白云区 | 2年经验 | 招若干人,Python开发工程师
1.3,上海-长宁区 | 3-4年经验 | 大专 | 招2人,Python开发工程师
0.9,上海-黄浦区 | 1年经验 | 本科 | 招2人,Python开发工程师
1.4,深圳-宝安区 | 3-4年经验 | 本科 | 招3人,Python开发工程师
2.0,上海-浦东新区 | 3-4年经验 | 本科 | 招1人,高级Python后台开发工程师
1.2,深圳-南山区 | 2年经验 | 本科 | 招若干人,中级Python开发工程师
1.0,上海-杨浦区 | 1年经验 | 本科 | 招1人,Python开发工程师
1.7,无锡-滨湖区 | 3-4年经验 | 本科 | 招1人,python后端开发工程师
1.2,深圳-南山区 | 1年经验 | 本科 | 招5人,Python开发工程师
1.2,上海-浦东新区 | 3-4年经验 | 本科 | 招3人,Python开发工程师
0.9,上海-黄浦区 | 1年经验 | 本科 | 招1人,Python后端工程师
0.8,南京-雨花台区 | 2年经验 | 本科 | 招3人,Python开发工程师
1.3,西安-雁塔区 | 3-4年经验 | 大专 | 招若干人,Python--1.2-1.5W+五险+双休
1.1,广州-天河区 | 2年经验 | 本科 | 招若干人,Python爬虫工程师
0.7,广州-海珠区 | 1年经验 | 大专 | 招2人,Python WEB 工程师
1.0,沈阳-和平区 | 2年经验 | 本科 | 招若干人,Python开发工程师
